time, Ex_field_energy, Ex_max_norm
1.6600000000000101e+01 1.3353283560153105e-02 7.1938756332207169e-03
1.6650000000000102e+01 1.1471082587241978e-02 7.2298497842572503e-03
1.6700000000000102e+01 9.7156246531789388e-03 7.2039936517090892e-03
1.6750000000000103e+01 8.1086838371750257e-03 6.7129376678830522e-03
1.6800000000000104e+01 6.6744479687305697e-03 6.1840407905290225e-03
1.6850000000000104e+01 5.4332122961346877e-03 5.6865269666433660e-03
1.6900000000000105e+01 4.3986247365672372e-03 5.3831008827094524e-03
1.6950000000000106e+01 3.5821384569297101e-03 5.1257944028360800e-03
1.7000000000000107e+01 2.9830385114225787e-03 4.7533557519551491e-03
1.7050000000000107e+01 2.6067081764832548e-03 4.4993379322774783e-03
1.7100000000000108e+01 2.4478821960015034e-03 4.6869948123461173e-03
1.7150000000000109e+01 2.5007765566917072e-03 5.0936824331985790e-03
1.7200000000000109e+01 2.7549398649771070e-03 4.9729376416875488e-03
1.7250000000000110e+01 3.1886115187054623e-03 4.7430584497533757e-03
1.7300000000000111e+01 3.7903567046388515e-03 5.0653309090008978e-03
1.7350000000000112e+01 4.5408500947942184e-03 5.3350632954635470e-03
1.7400000000000112e+01 5.4164762849117235e-03 5.5002786479725133e-03
1.7450000000000113e+01 6.3864049794487903e-03 5.5164787433863655e-03
1.7500000000000114e+01 7.4325679352072642e-03 5.5767970449458809e-03
1.7550000000000114e+01 8.5310926393150320e-03 6.1394892142467268e-03
1.7600000000000115e+01 9.6516356320518210e-03 6.2923694491850693e-03
1.7650000000000116e+01 1.0766808619465024e-02 6.8128898807166835e-03
1.7700000000000117e+01 1.1858586568435163e-02 7.0978878101337992e-03
1.7750000000000117e+01 1.2888729045609764e-02 7.3354203592736001e-03
1.7800000000000118e+01 1.3843628008346331e-02 7.5456382535526436e-03
1.7850000000000119e+01 1.4708294226178994e-02 7.6241838543816441e-03
1.7900000000000119e+01 1.5468744008283157e-02 7.8427246108693071e-03
1.7950000000000120e+01 1.6115653125141474e-02 8.0063242249518753e-03
1.8000000000000121e+01 1.6626976755481308e-02 8.2557597988676019e-03
1.8050000000000122e+01 1.6995454858315339e-02 8.4001639819306865e-03
1.8100000000000122e+01 1.7218223991827396e-02 8.3653939964702748e-03
1.8150000000000123e+01 1.7298514121695419e-02 8.1154991131058753e-03
1.8200000000000124e+01 1.7229586681703064e-02 7.5014121893723033e-03
1.8250000000000124e+01 1.7002145535635699e-02 7.5229626249999114e-03
1.8300000000000125e+01 1.6635325445206340e-02 7.5667312146228049e-03
1.8350000000000126e+01 1.6133384263850935e-02 7.8253233373682066e-03
1.8400000000000126e+01 1.5523913102087457e-02 7.8296813131294180e-03
1.8450000000000127e+01 1.4823297451841700e-02 7.5102830582501673e-03
1.8500000000000128e+01 1.4025051538168506e-02 7.5099507621112678e-03
1.8550000000000129e+01 1.3146107049214775e-02 7.5703472265458991e-03
1.8600000000000129e+01 1.2208720598755886e-02 7.5528394419435716e-03
1.8650000000000130e+01 1.1226380795597688e-02 7.4872785112571807e-03
1.8700000000000131e+01 1.0220035585572738e-02 7.1563463020073038e-03
1.8750000000000131e+01 9.2035769333773127e-03 6.6474497245431344e-03
1.8800000000000132e+01 8.2016478678464556e-03 6.3548804881923184e-03
1.8850000000000133e+01 7.2437880276869909e-03 5.9931227342370740e-03
1.8900000000000134e+01 6.3466865472563009e-03 5.8983793874271238e-03
1.8950000000000134e+01 5.5186798122964465e-03 5.9644435855868826e-03
1.9000000000000135e+01 4.7776763863390942e-03 5.6647880402339763e-03
1.9050000000000136e+01 4.1316535002563120e-03 5.4362451339632425e-03
1.9100000000000136e+01 3.5841920043944995e-03 5.3939993078758689e-03
